City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
151,Siguiri,11.6667,-9.5,81.23,61,90,8.28,GN,light rain
152,Laguna,38.421,-121.4238,82.15,17,0,14.97,US,clear sky
153,Gasa,31.5,34.4667,70.65,78,0,3.83,PS,clear sky
154,Motygino,58.1831,94.7592,55.24,53,93,5.23,RU,overcast clouds
155,Pisco,-13.7,-76.2167,64.02,82,0,13.8,PE,clear sky
156,Abong Mbang,3.9833,13.1833,67.6,96,73,2.15,CM,broken clouds
157,Kurilsk,45.2333,147.8833,41.65,95,98,10.51,RU,overcast clouds
158,Namatanai,-3.6667,152.4333,82.35,77,83,8.1,PG,light rain
159,Cabedelo,-6.9811,-34.8339,74.07,85,32,7.07,BR,scattered clouds
160,Torbay,47.6666,-52.7314,56.17,76,40,18.41,CA,scattered clouds
161,Luderitz,-26.6481,15.1594,55.27,68,0,11.43,NA,clear sky
162,Katsuura,35.1333,140.3,72.14,72,78,14.0,JP,broken clouds
163,Kunashak,55.7032,61.5498,57.72,83,99,7.76,RU,overcast clouds
164,Lebu,-37.6167,-73.65,45.0,73,14,14.07,CL,few clouds
165,Toro,4.6117,-76.0814,76.28,97,75,2.01,CO,broken clouds
166,Norman Wells,65.282,-126.8329,60.84,39,75,8.05,CA,broken clouds
167,Ilhabela,-23.7781,-45.3581,72.46,64,9,5.19,BR,clear sky
168,Clyde River,70.4692,-68.5914,28.63,59,0,3.44,CA,clear sky
169,Talara,-4.5772,-81.2719,64.96,86,19,13.04,PE,few clouds
170,Gorontalo,0.5412,123.0595,80.08,75,90,3.04,ID,overcast clouds
171,Bjornevatn,69.6672,29.9847,39.54,87,100,8.05,NO,overcast clouds
172,Bairiki,1.3292,172.9752,86.0,70,20,8.05,KI,few clouds
173,Aykhal,66.0,111.5,43.74,60,98,14.7,RU,overcast clouds
174,Christchurch,-43.5333,172.6333,56.91,90,75,12.66,NZ,broken clouds
175,Haverfordwest,51.8017,-4.9691,49.05,88,39,1.01,GB,scattered clouds
176,Phalaborwa,-23.943,31.1411,61.88,48,0,5.73,ZA,clear sky
177,Fairmont,39.4851,-80.1426,81.77,59,25,1.54,US,scattered clouds
178,Dingle,10.9995,122.6711,82.17,75,84,2.68,PH,broken clouds
179,Chunar,25.1333,82.9,80.65,38,3,6.13,IN,clear sky
180,Tasiilaq,65.6145,-37.6368,39.36,99,100,4.63,GL,overcast clouds
181,Fomboni,-12.28,43.7425,80.56,66,34,8.86,KM,light rain
182,Mantua,45.1667,10.7833,60.04,85,92,3.0,IT,moderate rain
183,Denpasar,-8.65,115.2167,82.06,83,20,4.61,ID,few clouds
184,Fortuna,40.5982,-124.1573,59.86,66,40,23.02,US,scattered clouds
185,Paducah,37.0834,-88.6001,80.73,47,0,3.44,US,clear sky
186,Wanaka,-44.7,169.15,47.1,84,100,1.01,NZ,overcast clouds
187,Parana,-31.732,-60.5238,48.56,57,75,7.67,AR,broken clouds
188,Ketchikan,55.3422,-131.6461,63.07,59,20,10.36,US,few clouds
189,Ribeira Grande,38.5167,-28.7,58.01,67,82,23.8,PT,light rain
190,Havoysund,70.9963,24.6622,45.41,70,15,14.38,NO,few clouds
191,Miraflores,19.2167,-98.8083,77.65,33,95,5.3,MX,overcast clouds
192,Bandar-E Lengeh,26.5579,54.8807,78.91,53,0,0.0,IR,clear sky
193,Westport,41.1415,-73.3579,70.93,70,0,9.22,US,clear sky
194,Miri,4.4148,114.0089,80.74,94,20,3.44,MY,few clouds
195,Sinnamary,5.3833,-52.95,77.88,86,93,8.86,GF,overcast clouds
196,Dunedin,-45.8742,170.5036,53.8,76,100,8.01,NZ,overcast clouds
197,Ravar,31.2656,56.8055,67.91,13,0,0.89,IR,clear sky
198,Gladstone,-23.85,151.25,70.79,68,92,5.75,AU,overcast clouds
199,Djibo,14.1022,-1.6306,95.31,30,20,12.48,BF,few clouds
200,Mataram,-8.5833,116.1167,83.21,77,39,7.58,ID,scattered clouds
201,Itarema,-2.9248,-39.9167,77.56,77,14,11.21,BR,few clouds
202,Codrington,-38.2667,141.9667,48.16,88,98,11.36,AU,overcast clouds
203,Nizhniy Odes,63.6445,54.856,49.77,95,100,4.29,RU,overcast clouds
204,Bay Roberts,47.5999,-53.2648,56.95,81,76,7.0,CA,broken clouds
205,Kailua,21.4022,-157.7394,82.15,79,99,1.99,US,overcast clouds
206,Kapit,2.0167,112.9333,78.44,79,39,0.6,MY,scattered clouds
207,Gao,16.6362,1.637,92.75,24,65,10.83,ML,broken clouds
208,Maceio,-9.6658,-35.7353,72.84,94,40,2.3,BR,scattered clouds
209,Fort Stewart,31.8722,-81.61,82.49,74,0,10.36,US,clear sky
210,Tiksi,71.6872,128.8694,30.38,81,100,11.05,RU,overcast clouds
211,Cape Canaveral,28.4058,-80.6048,83.07,80,0,19.57,US,clear sky
212,Cidreira,-30.1811,-50.2056,60.28,84,100,10.94,BR,overcast clouds
213,Florianopolis,-27.6146,-48.5012,61.83,94,100,3.44,BR,light rain
214,Kavaratti,10.5669,72.642,81.68,74,77,4.9,IN,broken clouds
215,Darhan,49.4867,105.9228,52.77,33,26,5.41,MN,scattered clouds
216,Xuanhua,40.6103,115.0447,63.54,22,25,14.83,CN,scattered clouds
217,Tosya,41.0155,34.0401,63.75,62,57,0.47,TR,light rain
218,Port Macquarie,-31.4333,152.9167,60.89,63,99,6.55,AU,overcast clouds
219,Padang,-0.9492,100.3543,75.25,83,87,3.98,ID,overcast clouds
220,Ferrol,43.4832,-8.2369,62.71,87,98,2.21,ES,overcast clouds
221,Prince Rupert,54.3161,-130.3201,56.89,88,0,19.57,CA,clear sky
222,Moranbah,-22.0016,148.0466,72.81,46,36,16.71,AU,scattered clouds
223,Xiaoweizhai,26.1903,107.5125,68.85,98,100,1.9,CN,overcast clouds
224,Candelaria,13.9311,121.4233,82.38,76,96,1.72,PH,overcast clouds
225,Yulara,-25.2406,130.9889,50.79,43,98,19.71,AU,overcast clouds
226,Port Blair,11.6667,92.75,82.44,83,100,1.14,IN,mist
227,Hammerfest,70.6634,23.6821,45.05,65,0,14.97,NO,clear sky
228,Kiunga,-6.1219,141.2906,79.97,81,97,3.4,PG,overcast clouds
229,Taoudenni,22.6783,-3.9836,97.02,19,68,12.46,ML,broken clouds
230,Boyabat,41.4689,34.7667,64.13,75,46,2.64,TR,scattered clouds
231,Kewanee,41.2456,-89.9248,72.95,73,86,24.54,US,overcast clouds
232,Kongolo,-5.3833,27.0,69.01,94,46,1.79,CD,light rain
233,Navalmoral De La Mata,39.8916,-5.5406,63.52,57,74,8.03,ES,broken clouds
234,Semporna,4.4818,118.6112,79.61,82,97,1.61,MY,overcast clouds
235,Sechelt,49.4664,-123.7694,61.12,65,100,5.23,CA,overcast clouds
236,Moron,-34.6534,-58.6198,45.97,58,3,5.73,AR,clear sky
237,Pilar,-9.5972,-35.9567,71.53,95,61,2.48,BR,broken clouds
238,Latung,5.5,120.8833,81.82,70,100,6.04,PH,overcast clouds
239,Matay,28.419,30.7792,80.42,27,0,9.1,EG,clear sky
240,Pacific Grove,36.6177,-121.9166,74.25,72,0,17.0,US,clear sky
241,Narsaq,60.9167,-46.05,44.82,91,40,7.0,GL,scattered clouds
242,Evensk,61.95,159.2333,47.57,72,22,8.1,RU,few clouds
243,Adeje,28.1227,-16.726,65.32,71,0,4.61,ES,clear sky
244,Leningradskiy,69.3833,178.4167,37.38,79,93,5.21,RU,overcast clouds
245,Lodja,-3.4833,23.4333,72.77,81,94,2.17,CD,overcast clouds
246,Mbeya,-8.9,33.45,50.97,87,8,5.55,TZ,clear sky
247,Basoko,1.2391,23.616,71.2,80,36,2.46,CD,scattered clouds
248,Krasnoselkup,65.7,82.4667,42.3,70,4,17.72,RU,clear sky
249,Erdenet,49.0333,104.0833,49.41,35,45,4.5,MN,scattered clouds
250,Bardiyah,31.7561,25.0865,72.14,67,0,15.46,LY,clear sky
251,Juegang,32.3174,121.1855,83.95,76,91,11.9,CN,overcast clouds
252,Rudnaya Pristan,44.3614,135.8116,52.93,82,100,8.68,RU,light rain
253,Coihaique,-45.5752,-72.0662,29.01,93,0,3.44,CL,clear sky
254,Yeppoon,-23.1333,150.7333,71.38,59,65,8.84,AU,broken clouds
255,Atambua,-9.1061,124.8925,79.79,60,57,0.74,ID,broken clouds
256,Valleyview,55.0667,-117.2859,53.64,62,98,8.05,CA,overcast clouds
257,Shelburne,44.0787,-80.2041,72.05,68,29,7.67,CA,scattered clouds
258,Asau,46.4333,26.4,57.96,100,100,3.51,RO,overcast clouds
259,Bathsheba,13.2167,-59.5167,81.21,74,40,17.27,BB,scattered clouds
260,Mandalgovi,45.7625,106.2708,51.8,32,0,11.77,MN,clear sky
261,Deputatskiy,69.3,139.9,38.03,74,25,3.38,RU,scattered clouds
262,Shingu,33.7333,135.9833,75.9,51,60,4.09,JP,broken clouds
263,Arman,59.7,150.1667,42.51,77,100,6.42,RU,overcast clouds
264,Vardo,70.3705,31.1107,39.18,93,32,9.22,NO,scattered clouds
265,Sadovoye,47.7764,44.5089,64.0,52,0,5.99,RU,clear sky
266,Kizner,56.2749,51.508,44.44,95,27,5.35,RU,scattered clouds
267,Longyearbyen,78.2186,15.6401,48.04,71,0,10.36,SJ,clear sky
268,Pingzhuang,42.0372,119.2889,59.68,24,2,13.13,CN,clear sky
269,Coahuayana,18.7333,-103.6833,83.7,62,50,6.17,MX,scattered clouds
270,Bara,10.3744,10.7288,81.34,51,89,6.55,NG,overcast clouds
271,Villa Constitucion,-33.2278,-60.3297,46.87,46,27,4.43,AR,scattered clouds
272,Bambanglipuro,-7.95,110.2833,77.5,86,23,4.59,ID,few clouds
273,Lasa,46.6166,10.7002,42.37,92,68,1.54,IT,broken clouds
274,Adrar,20.5022,-10.0711,86.72,26,100,8.93,MR,overcast clouds
275,Nigde,37.8333,34.75,61.38,53,0,4.63,TR,clear sky
276,Les Cayes,18.2,-73.75,78.69,85,99,5.57,HT,overcast clouds
277,Risod,19.9667,76.7833,81.27,53,3,10.85,IN,clear sky
278,Zenzeli,45.9241,47.0474,64.2,65,0,7.94,RU,clear sky
279,Saldanha,-33.0117,17.9442,42.85,59,0,4.9,ZA,clear sky
280,Inirida,3.8653,-67.9239,74.57,97,78,1.23,CO,broken clouds
281,Tautira,-17.7333,-149.15,79.45,67,22,5.86,PF,few clouds
282,Lorengau,-2.0226,147.2712,82.74,77,85,3.6,PG,overcast clouds
283,Vieques,18.425,-65.8329,82.44,78,40,13.8,PR,scattered clouds
284,Svetlaya,46.5389,138.3297,48.78,86,95,7.61,RU,overcast clouds
285,Rumonge,-3.9736,29.4386,69.62,92,100,7.47,BI,light rain
286,Syamzha,60.0158,41.0614,47.57,98,100,8.81,RU,overcast clouds
287,Moose Factory,51.2585,-80.6094,50.0,40,0,11.5,CA,clear sky
288,Dalbandin,28.8947,64.4101,75.76,10,0,5.19,PK,clear sky
289,Muros,42.7762,-9.0603,61.09,86,76,6.51,ES,broken clouds
290,Altamira,-3.2033,-52.2064,74.84,92,95,2.01,BR,overcast clouds
291,Port Lincoln,-34.7333,135.8667,59.13,74,93,25.77,AU,overcast clouds
292,Kardailovo,51.5386,53.9042,60.82,74,47,5.55,RU,scattered clouds
293,Bethel,41.3712,-73.414,69.67,70,19,1.81,US,few clouds
294,Sibolga,1.7427,98.7792,75.52,88,98,3.69,ID,overcast clouds
295,Guarapari,-20.6667,-40.4975,68.9,90,11,8.97,BR,few clouds
296,Ibra,22.6906,58.5334,79.2,59,0,2.89,OM,clear sky
297,Faya,18.3851,42.4509,66.31,44,3,0.85,SA,clear sky
298,Egvekinot,66.3167,-179.1667,40.17,68,80,5.3,RU,broken clouds
299,Korla,41.7597,86.1469,78.64,18,100,11.23,CN,overcast clouds
300,Palmer,42.1584,-72.3287,72.01,70,17,3.94,US,few clouds
301,Akureyri,65.6835,-18.0878,44.53,70,0,3.44,IS,clear sky
302,Kopavogur,64.1123,-21.913,46.11,93,100,3.44,IS,fog
303,Buta,2.7858,24.73,69.37,91,38,2.01,CD,scattered clouds
304,Ouadda,8.0777,22.4007,68.43,85,43,2.46,CF,scattered clouds
305,Provideniya,64.3833,-173.3,42.91,81,0,0.0,RU,clear sky
306,Digapahandi,19.3667,84.5833,87.13,45,81,3.71,IN,broken clouds
307,Los Llanos De Aridane,28.6585,-17.9182,64.15,82,0,5.99,ES,clear sky
308,Quatre Cocos,-20.2078,57.7625,73.51,58,20,20.89,MU,few clouds
309,Kahului,20.8947,-156.47,89.62,43,40,18.41,US,scattered clouds
310,Paamiut,61.994,-49.6678,34.61,96,21,8.52,GL,few clouds
311,Along,28.1667,94.7667,71.76,95,63,1.32,IN,broken clouds
312,Sisimiut,66.9395,-53.6735,38.77,64,2,3.83,GL,clear sky
313,College,64.8569,-147.8028,73.58,31,40,13.8,US,scattered clouds
314,Allanridge,-27.7543,26.6438,45.99,63,0,7.25,ZA,clear sky
315,Eyl,7.9803,49.8164,79.5,74,97,21.05,SO,overcast clouds
316,Nanortalik,60.1432,-45.2371,38.46,86,76,8.48,GL,broken clouds
317,Aripuana,-9.1667,-60.6333,79.12,70,84,1.03,BR,broken clouds
318,Skibbereen,51.55,-9.2667,54.1,88,47,6.17,IE,scattered clouds
319,Humboldt,40.6665,-123.9178,51.06,57,22,10.42,US,few clouds
320,Portland,45.5234,-122.6762,60.94,65,75,11.5,US,broken clouds
321,Lyngseidet,69.5763,20.2189,42.8,71,31,9.15,NO,scattered clouds
322,Pontianak,-0.0333,109.3333,76.98,94,20,3.44,ID,few clouds
323,Xining,36.6167,101.7667,53.17,68,100,2.48,CN,overcast clouds
324,Dawei,14.0833,98.2,76.5,90,97,1.77,MM,overcast clouds
325,Dalianwan,39.0286,121.695,68.04,56,0,6.71,CN,clear sky
326,Bichura,50.5881,107.6022,55.33,29,1,5.55,RU,clear sky
327,Ojos De Agua,14.7,-88.8167,76.68,100,75,0.0,HN,broken clouds
328,Kuching,1.55,110.3333,79.02,100,20,2.3,MY,light rain
329,Ornskoldsvik,63.2909,18.7153,45.57,93,43,4.29,SE,scattered clouds
330,Kuito,-12.3833,16.9333,53.53,58,0,2.98,AO,clear sky
331,Belyy Yar,53.6039,91.3903,58.86,72,75,13.42,RU,broken clouds
