City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
328,Kuching,MY,79.02,light rain,1.55,110.3333,Hilton Kuching
332,Hinganghat,IN,89.76,few clouds,20.5667,78.8333,Zambre Villa
335,Half Moon Bay,US,74.79,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
336,Mitsamiouli,KM,78.39,clear sky,-11.3847,43.2844,Foyer ADM
339,Biak,ID,79.88,broken clouds,-0.9131,122.8766,Penginapan Kim
340,Belmonte,BR,74.48,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
344,Haines Junction,CA,69.75,broken clouds,60.7522,-137.5108,Parkside Inn
345,Tura,IN,73.51,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
347,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
349,Ulaangom,MN,68.02,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
354,Natal,BR,75.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
355,Governador Valadares,BR,70.65,broken clouds,-18.8511,-41.9494,Hotel Panorama
356,Hervey Bay,AU,67.37,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
360,Cortez,US,68.76,haze,37.3489,-108.5859,Sand Canyon National 9 Inn
362,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
365,Estelle,US,84.99,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
370,Port Hedland,AU,66.25,light rain,-20.3167,118.5667,The Esplanade Hotel
371,Palu,ID,84.43,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
372,Kirakira,SB,84.78,scattered clouds,-10.4544,161.9205,SanBiz Lodge
373,Hopelchen,MX,81.03,overcast clouds,19.7667,-89.85,Hotel Jaguar
374,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
375,Le Port,RE,71.6,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
376,Colomba,GT,74.97,overcast clouds,14.7167,-91.7333,Colomba costacica
380,Pemba,MZ,74.1,broken clouds,-12.974,40.5178,Guesthouse Samotina
381,Nguru,NG,86.27,clear sky,12.8791,10.4526,Government Lodge
382,Germantown,US,77.52,clear sky,39.1732,-77.2717,Fairfield Inn & Suites by Marriott Germantown Gaithersburg
